A
t S I R
30.2 69.6879 110.015 220.298
30.3 69.7085 110.007 220.284
30.4 69.7292 110 220.271
30.5 69.75 109.993 220.257
30.6 69.7708 109.986 220.244
30.7 69.7917 109.978 220.23
30.8 69.8127 109.971 220.216
30.9 69.8338 109.964 220.203
31 69.855 109.956 220.189
31.1 69.8762 109.949 220.175
31.2 69.8975 109.941 220.161
31.3 69.9189 109.934 220.147
31.4 69.9403 109.926 220.133
31.5 69.9618 109.919 220.119
31.6 69.9834 109.911 220.105
31.7 70.0051 109.904 220.091
31.8 70.0269 109.896 220.077
31.9 70.0487 109.889 220.063
32 70.0706 109.881 220.048
32.1 70.0926 109.873 220.034
32.2 70.1146 109.866 220.02
32.3 70.1367 109.858 220.005
32.4 70.159 109.85 219.991
32.5 70.1812 109.842 219.976
32.6 70.2036 109.835 219.962
32.7 70.226 109.827 219.947
32.8 70.2485 109.819 219.932
32.9 70.2711 109.811 219.918
33 70.2938 109.803 219.903
33.1 70.3165 109.795 219.888
33.2 70.3393 109.787 219.873
33.3 70.3622 109.779 219.858
33.4 70.3852 109.771 219.843
33.5 70.4082 109.763 219.828
33.6 70.4314 109.755 219.813
33.7 70.4545 109.747 219.798
33.8 70.4778 109.739 219.783
33.9 70.5012 109.731 219.768
34 70.5246 109.723 219.752
34.1 70.5481 109.715 219.737
34.2 70.5717 109.707 219.722
34.3 70.5953 109.698 219.706
34.4 70.6191 109.69 219.691
34.5 70.6429 109.682 219.675
34.6 70.6668 109.673 219.66
34.7 70.6907 109.665 219.644
34.8 70.7148 109.657 219.628
34.9 70.7389 109.648 219.613
35 70.7631 109.64 219.597
35.1 70.7874 109.632 219.581
35.2 70.8117 109.623 219.565
35.3 70.8362 109.615 219.549
35.4 70.8607 109.606 219.533
35.5 70.8853 109.598 219.517
35.6 70.9099 109.589 219.501
35.7 70.9347 109.58 219.485
35.8 70.9595 109.572 219.469
35.9 70.9844 109.563 219.452
36 71.0094 109.554 219.436
36.1 71.0345 109.546 219.42
36.2 71.0596 109.537 219.403
36.3 71.0848 109.528 219.387
36.4 71.1101 109.52 219.37
36.5 71.1355 109.511 219.354
36.6 71.1609 109.502 219.337
36.7 71.1864 109.493 219.321
36.8 71.2121 109.484 219.304
36.9 71.2377 109.475 219.287
37 71.2635 109.466 219.27
37.1 71.2894 109.457 219.253
37.2 71.3153 109.448 219.236
37.3 71.3413 109.439 219.219
37.4 71.3674 109.43 219.202
37.5 71.3935 109.421 219.185
37.6 71.4198 109.412 219.168
37.7 71.4461 109.403 219.151
37.8 71.4725 109.394 219.134
37.9 71.499 109.385 219.116
38 71.5255 109.375 219.099
38.1 71.5522 109.366 219.082
38.2 71.5789 109.357 219.064
38.3 71.6057 109.348 219.047
38.4 71.6326 109.338 219.029
38.5 71.6595 109.329 219.011
38.6 71.6866 109.32 218.994
38.7 71.7137 109.31 218.976
38.8 71.7409 109.301 218.958
38.9 71.7682 109.291 218.94
39 71.7955 109.282 218.923
39.1 71.823 109.272 218.905
39.2 71.8505 109.263 218.887
39.3 71.8781 109.253 218.869
39.4 71.9058 109.244 218.85
39.5 71.9336 109.234 218.832
39.6 71.9614 109.224 218.814
39.7 71.9893 109.215 218.796
39.8 72.0173 109.205 218.778
39.9 72.0454 109.195 218.759
40 72.0736 109.186 218.741
40.1 72.1019 109.176 218.722
40.2 72.1302 109.166 218.704
40.3 72.1586 109.156 218.685
40.4 72.1871 109.146 218.667
40.5 72.2157 109.136 218.648
40.6 72.2444 109.127 218.629
40.7 72.2731 109.117 218.61
40.8 72.3019 109.107 218.591
40.9 72.3308 109.097 218.573
41 72.3598 109.087 218.554
41.1 72.3889 109.077 218.535
41.2 72.418 109.066 218.515
41.3 72.4473 109.056 218.496
41.4 72.4766 109.046 218.477
41.5 72.506 109.036 218.458
41.6 72.5355 109.026 218.439
41.7 72.5651 109.016 218.419
41.8 72.5947 109.005 218.4
41.9 72.6244 108.995 218.38
42 72.6543 108.985 218.361
42.1 72.6842 108.974 218.341
42.2 72.7141 108.964 218.322
42.3 72.7442 108.954 218.302
42.4 72.7743 108.943 218.282
42.5 72.8046 108.933 218.263
42.6 72.8349 108.922 218.243
42.7 72.8653 108.912 218.223
42.8 72.8958 108.901 218.203
42.9 72.9263 108.891 218.183
43 72.957 108.88 218.163
43.1 72.9877 108.87 218.143
43.2 73.0186 108.859 218.122
43.3 73.0495 108.848 218.102
43.4 73.0804 108.838 218.082
43.5 73.1115 108.827 218.062
43.6 73.1427 108.816 218.041
43.7 73.1739 108.805 218.021
43.8 73.2052 108.794 218
43.9 73.2366 108.784 217.98
44 73.2681 108.773 217.959
44.1 73.2997 108.762 217.938
44.2 73.3314 108.751 217.918
44.3 73.3631 108.74 217.897
44.4 73.395 108.729 217.876
44.5 73.4269 108.718 217.855
44.6 73.4589 108.707 217.834
44.7 73.491 108.696 217.813
44.8 73.5232 108.685 217.792
44.9 73.5554 108.674 217.771
45 73.5878 108.662 217.75
45.1 73.6202 108.651 217.729
45.2 73.6527 108.64 217.707
45.3 73.6853 108.629 217.686
45.4 73.718 108.618 217.664
45.5 73.7508 108.606 217.643
45.6 73.7837 108.595 217.621
45.7 73.8166 108.584 217.6
45.8 73.8496 108.572 217.578
45.9 73.8828 108.561 217.557
46 73.916 108.549 217.535
46.1 73.9493 108.538 217.513
46.2 73.9827 108.526 217.491
46.3 74.0161 108.515 217.469
46.4 74.0497 108.503 217.447
46.5 74.0833 108.492 217.425
46.6 74.1171 108.48 217.403
46.7 74.1509 108.468 217.381
46.8 74.1848 108.457 217.359
46.9 74.2188 108.445 217.336
47 74.2528 108.433 217.314
47.1 74.287 108.421 217.292
47.2 74.3213 108.41 217.269
47.3 74.3556 108.398 217.247
47.4 74.39 108.386 217.224
47.5 74.4246 108.374 217.202
47.6 74.4592 108.362 217.179
47.7 74.4939 108.35 217.156
47.8 74.5287 108.338 217.133
47.9 74.5635 108.326 217.11
48 74.5985 108.314 217.088
48.1 74.6335 108.302 217.065
48.2 74.6687 108.29 217.041
48.3 74.7039 108.278 217.018
48.4 74.7392 108.266 216.995
48.5 74.7746 108.253 216.972
48.6 74.8101 108.241 216.949
48.7 74.8457 108.229 216.925
48.8 74.8814 108.217 216.902
48.9 74.9171 108.204 216.879
49 74.953 108.192 216.855
49.1 74.9889 108.18 216.832
49.2 75.025 108.167 216.808
49.3 75.0611 108.155 216.784
49.4 75.0973 108.142 216.76
49.5 75.1336 108.13 216.737
49.6 75.17 108.117 216.713
49.7 75.2065 108.105 216.689
49.8 75.243 108.092 216.665
49.9 75.2797 108.079 216.641
50 75.3165 108.067 216.617
50.1 75.3533 108.054 216.593
50.2 75.3902 108.041 216.568
50.3 75.4273 108.029 216.544
50.4 75.4644 108.016 216.52
50.5 75.5016 108.003 216.495
50.6 75.5389 107.99 216.471
50.7 75.5763 107.977 216.446
50.8 75.6138 107.964 216.422
50.9 75.6513 107.952 216.397
51 75.689 107.939 216.372
51.1 75.7268 107.926 216.348
51.2 75.7646 107.913 216.323
51.3 75.8025 107.899 216.298
51.4 75.8406 107.886 216.273
51.5 75.8787 107.873 216.248
51.6 75.9169 107.86 216.223
51.7 75.9552 107.847 216.198
51.8 75.9936 107.834 216.173
51.9 76.0321 107.821 216.147
52 76.0707 107.807 216.122
52.1 76.1094 107.794 216.097
52.2 76.1482 107.781 216.071
52.3 76.187 107.767 216.046
52.4 76.226 107.754 216.02
52.5 76.265 107.74 215.995
52.6 76.3042 107.727 215.969
52.7 76.3434 107.713 215.943
52.8 76.3828 107.7 215.917
52.9 76.4222 107.686 215.891
53 76.4617 107.673 215.865
53.1 76.5013 107.659 215.84
53.2 76.541 107.646 215.813
53.3 76.5808 107.632 215.787
53.4 76.6207 107.618 215.761
53.5 76.6607 107.604 215.735
53.6 76.7008 107.591 215.709
53.7 76.741 107.577 215.682
53.8 76.7812 107.563 215.656
53.9 76.8216 107.549 215.629
54 76.8621 107.535 215.603
54.1 76.9026 107.521 215.576
54.2 76.9433 107.507 215.549
54.3 76.984 107.493 215.523
54.4 77.0249 107.479 215.496
54.5 77.0658 107.465 215.469
54.6 77.1069 107.451 215.442
54.7 77.148 107.437 215.415
54.8 77.1892 107.423 215.388
54.9 77.2305 107.409 215.361
55 77.272 107.394 215.334
55.1 77.3135 107.38 215.306
55.2 77.3551 107.366 215.279
55.3 77.3968 107.351 215.252
55.4 77.4386 107.337 215.224
55.5 77.4805 107.323 215.197
55.6 77.5225 107.308 215.169
55.7 77.5646 107.294 215.142
55.8 77.6068 107.279 215.114
55.9 77.6491 107.265 215.086
56 77.6914 107.25 215.058
56.1 77.7339 107.236 215.03
56.2 77.7765 107.221 215.002
56.3 77.8192 107.206 214.974
56.4 77.862 107.192 214.946
56.5 77.9048 107.177 214.918
