A
t S I R
2.7275 68 120 212
2.73 68 120 212
2.7325 68 120 212
2.735 68 120 212
2.7375 69 120 211
2.74 70 120 210
2.7425 70 120 210
2.745 70 120 210
2.7475 70 120 210
2.75 71 120 209
2.7525 72 120 208
2.755 72 120 208
2.7575 72 120 208
2.76 72 120 208
2.7625 72 120 208
2.765 73 120 207
2.7675 72 121 207
2.77 73 121 206
2.7725 74 121 205
2.775 73 122 205
2.7775 73 122 205
2.78 74 121 205
2.7825 74 120 206
2.785 74 120 206
2.7875 74 120 206
2.79 74 119 207
2.7925 74 119 207
2.795 74 119 207
2.7975 74 119 207
2.8 74 119 207
2.8025 74 119 207
2.805 74 119 207
2.8075 74 119 207
2.81 73 119 208
2.8125 73 119 208
2.815 73 119 208
2.8175 74 118 208
2.82 75 117 208
2.8225 76 117 207
2.825 77 117 206
2.8275 77 117 206
2.83 78 117 205
2.8325 78 116 206
2.835 77 117 206
2.8375 78 117 205
2.84 78 117 205
2.8425 78 118 204
2.845 78 119 203
2.8475 77 120 203
2.85 76 120 204
2.8525 76 119 205
2.855 75 120 205
2.8575 75 119 206
2.86 76 119 205
2.8625 77 118 205
2.865 77 118 205
2.8675 77 118 205
2.87 77 117 206
2.8725 76 117 207
2.875 77 117 206
2.8775 78 117 205
2.88 79 117 204
2.8825 79 116 205
2.885 79 115 206
2.8875 79 115 206
2.89 79 116 205
2.8925 79 117 204
2.895 79 117 204
2.8975 79 117 204
2.9 79 117 204
2.9025 79 117 204
2.905 79 116 205
2.9075 79 116 205
2.91 80 115 205
2.9125 79 115 206
2.915 78 116 206
2.9175 79 116 205
2.92 80 115 205
2.9225 81 114 205
2.925 81 114 205
2.9275 81 113 206
2.93 81 113 206
2.9325 80 114 206
2.935 80 113 207
2.9375 81 113 206
2.94 81 112 207
2.9425 81 111 208
2.945 81 111 208
2.9475 81 110 209
2.95 81 110 209
2.9525 80 111 209
2.955 80 110 210
2.9575 80 110 210
2.96 79 110 211
2.9625 79 110 211
2.965 78 110 212
2.9675 78 110 212
2.97 78 110 212
2.9725 79 110 211
2.975 80 110 210
2.9775 80 109 211
2.98 80 109 211
2.9825 81 109 210
2.985 80 109 211
2.9875 81 108 211
2.99 81 108 211
2.9925 81 108 211
2.995 81 109 210
2.9975 80 110 210
3 80 110 210
3.0025 79 110 211
3.005 79 109 212
3.0075 79 109 212
3.01 78 109 213
3.0125 78 109 213
3.015 79 109 212
3.0175 79 109 212
3.02 79 109 212
3.0225 80 109 211
3.025 79 110 211
3.0275 79 109 212
3.03 79 108 213
3.0325 80 108 212
3.035 80 108 212
3.0375 80 108 212
3.04 80 108 212
3.0425 81 107 212
3.045 81 107 212
3.0475 81 107 212
3.05 81 107 212
3.0525 82 107 211
3.055 82 107 211
3.0575 82 106 212
3.06 81 107 212
3.0625 80 107 213
3.065 80 107 213
3.0675 80 107 213
3.07 81 106 213
3.0725 81 105 214
3.075 81 104 215
3.0775 81 103 216
3.08 81 103 216
3.0825 81 102 217
3.085 81 103 216
3.0875 80 104 216
3.09 80 104 216
3.0925 80 104 216
3.095 81 104 215
3.0975 82 104 214
3.1 82 104 214
3.1025 82 104 214
3.105 82 104 214
3.1075 82 103 215
3.11 83 103 214
3.1125 82 104 214
3.115 82 104 214
3.1175 83 103 214
3.12 82 104 214
3.1225 82 104 214
3.125 82 104 214
3.1275 82 104 214
3.13 81 105 214
3.1325 80 106 214
3.135 81 106 213
3.1375 80 107 213
3.14 80 107 213
3.1425 79 108 213
3.145 79 108 213
3.1475 79 108 213
3.15 79 108 213
3.1525 79 109 212
3.155 80 109 211
3.1575 81 109 210
3.16 81 108 211
3.1625 81 108 211
3.165 81 108 211
3.1675 81 108 211
3.17 81 108 211
3.1725 80 109 211
3.175 79 110 211
3.1775 78 110 212
3.18 78 110 212
3.1825 79 110 211
