A
t S I R
2.3125 57 137 206
2.315 57 137 206
2.3175 57 136 207
2.32 56 137 207
2.3225 56 137 207
2.325 56 136 208
2.3275 55 137 208
2.33 55 137 208
2.3325 56 137 207
2.335 56 137 207
2.3375 56 137 207
2.34 57 136 207
2.3425 58 135 207
2.345 58 135 207
2.3475 58 135 207
2.35 57 136 207
2.3525 58 135 207
2.355 58 134 208
2.3575 57 134 209
2.36 57 134 209
2.3625 57 134 209
2.365 57 134 209
2.3675 56 135 209
2.37 56 135 209
2.3725 56 136 208
2.375 57 135 208
2.3775 58 134 208
2.38 59 134 207
2.3825 59 135 206
2.385 59 135 206
2.3875 58 135 207
2.39 58 134 208
2.3925 58 134 208
2.395 58 133 209
2.3975 58 133 209
2.4 58 133 209
2.4025 58 133 209
2.405 57 133 210
2.4075 58 132 210
2.41 57 133 210
2.4125 57 133 210
2.415 57 132 211
2.4175 56 133 211
2.42 56 134 210
2.4225 55 135 210
2.425 54 136 210
2.4275 55 136 209
2.43 56 135 209
2.4325 56 135 209
2.435 56 135 209
2.4375 55 136 209
2.44 55 136 209
2.4425 55 135 210
2.445 55 134 211
2.4475 54 135 211
2.45 53 135 212
2.4525 53 135 212
2.455 53 136 211
2.4575 53 136 211
2.46 54 136 210
2.4625 54 135 211
2.465 53 136 211
2.4675 54 135 211
2.47 55 134 211
2.4725 55 134 211
2.475 55 134 211
2.4775 55 135 210
2.48 55 136 209
2.4825 55 137 208
2.485 55 137 208
2.4875 54 138 208
2.49 53 139 208
2.4925 53 138 209
2.495 52 139 209
2.4975 52 139 209
2.5 52 139 209
------------------------------
B
t S I R
0 300 100 0
0.00125 300 100 0
0.0025 300 100 0
0.00375 300 100 0
0.005 300 100 0
0.00625 299 101 0
0.0075 298 102 0
0.00875 298 102 0
0.01 297 103 0
0.01125 297 103 0
0.0125 297 103 0
0.01375 297 103 0
0.015 297 103 0
0.01625 297 103 0
0.0175 297 102 1
0.01875 297 102 1
0.02 297 102 1
0.02125 296 103 1
0.0225 296 103 1
0.02375 296 103 1
0.025 296 103 1
0.02625 295 104 1
0.0275 294 105 1
0.02875 293 105 2
0.03 293 105 2
0.03125 293 105 2
0.0325 293 104 3
0.03375 293 104 3
0.035 292 105 3
0.03625 292 105 3
0.0375 291 105 4
0.03875 290 105 5
0.04 289 106 5
0.04125 289 106 5
0.0425 289 106 5
0.04375 288 107 5
0.045 288 107 5
0.04625 288 107 5
0.0475 288 106 6
0.04875 287 107 6
0.05 287 107 6
0.05125 287 106 7
0.0525 286 107 7
0.05375 285 108 7
0.055 285 107 8
0.05625 285 106 9
0.0575 285 106 9
0.05875 285 105 10
0.06 285 104 11
0.06125 284 105 11
0.0625 284 105 11
0.06375 283 106 11
0.065 283 106 11
0.06625 283 105 12
0.0675 283 105 12
0.06875 283 105 12
0.07 283 105 12
0.07125 282 106 12
0.0725 282 105 13
0.07375 281 105 14
0.075 280 106 14
0.07625 280 106 14
0.0775 280 106 14
0.07875 279 107 14
0.08 279 106 15
0.08125 279 105 16
0.0825 279 105 16
0.08375 278 105 17
0.085 278 104 18
0.08625 277 105 18
0.0875 276 106 18
0.08875 275 107 18
0.09 275 107 18
0.09125 275 107 18
0.0925 275 107 18
0.09375 274 108 18
0.095 274 108 18
0.09625 274 108 18
0.0975 274 108 18
0.09875 274 108 18
0.1 273 109 18
0.10125 273 108 19
0.1025 273 108 19
0.10375 273 107 20
0.105 273 107 20
0.10625 273 107 20
0.1075 273 107 20
0.10875 273 107 20
0.11 272 108 20
0.11125 272 108 20
0.1125 271 109 20
0.11375 271 109 20
0.115 271 109 20
0.11625 271 109 20
0.1175 271 109 20
0.11875 271 109 20
0.12 271 109 20
0.12125 271 109 20
0.1225 270 109 21
0.12375 270 108 22
0.125 270 108 22
0.12625 269 108 23
0.1275 268 109 23
0.12875 267 110 23
0.13 267 110 23
0.13125 267 109 24
0.1325 267 109 24
0.13375 267 109 24
0.135 267 108 25
0.13625 268 108 24
0.1375 267 108 25
0.13875 267 108 25
0.14 267 108 25
0.14125 266 109 25
0.1425 266 108 26
0.14375 266 108 26
0.145 266 107 27
0.14625 265 108 27
0.1475 265 108 27
0.14875 264 109 27
0.15 264 109 27
0.15125 264 109 27
0.1525 264 108 28
0.15375 264 107 29
0.155 264 106 30
0.15625 264 106 30
0.1575 264 106 30
0.15875 264 106 30
0.16 264 106 30
0.16125 263 107 30
0.1625 262 107 31
0.16375 262 106 32
0.165 261 106 33
0.16625 261 106 33
0.1675 261 105 34
0.16875 261 105 34
0.17 260 106 34
0.17125 259 107 34
0.1725 258 108 34
0.17375 257 108 35
0.175 256 109 35
0.17625 256 109 35
0.1775 255 110 35
0.17875 256 110 34
0.18 256 110 34
0.18125 255 111 34
0.1825 255 110 35
0.18375 255 109 36
0.185 255 109 36
0.18625 255 109 36
0.1875 255 109 36
0.18875 255 109 36
0.19 254 110 36
0.19125 254 110 36
0.1925 254 109 37
0.19375 255 109 36
0.195 254 109 37
0.19625 254 109 37
0.1975 254 108 38
0.19875 254 108 38
0.2 253 109 38
0.20125 253 109 38
0.2025 252 109 39
0.20375 252 108 40
0.205 251 109 40
0.20625 251 109 40
0.2075 250 109 41
0.20875 249 109 42
0.21 248 109 43
0.21125 247 110 43
0.2125 247 110 43
0.21375 246 111 43
0.215 245 112 43
0.21625 245 112 43
0.2175 244 113 43
0.21875 243 114 43
0.22 243 114 43
0.22125 243 113 44
0.2225 243 113 44
0.22375 243 112 45
0.225 242 113 45
0.22625 241 113 46
0.2275 241 112 47
0.22875 241 112 47
0.23 240 113 47
0.23125 239 114 47
0.2325 239 114 47
0.23375 238 115 47
0.235 238 115 47
0.23625 238 115 47
0.2375 238 115 47
0.23875 238 115 47
0.24 238 115 47
0.24125 237 116 47
0.2425 237 116 47
0.24375 237 116 47
0.245 237 116 47
0.24625 237 115 48
0.2475 237 115 48
0.24875 237 115 48
0.25 237 115 48
0.25125 237 115 48
0.2525 237 115 48
0.25375 236 116 48
0.255 237 115 48
0.25625 237 114 49
