A
t S I R
44.4 101.222 129.43 253.629
44.5 101.222 129.485 253.739
44.6 101.221 129.54 253.848
44.7 101.221 129.594 253.957
44.8 101.22 129.649 254.067
44.9 101.22 129.703 254.176
45 101.219 129.758 254.285
45.1 101.219 129.812 254.394
45.2 101.218 129.866 254.502
45.3 101.218 129.921 254.611
45.4 101.217 129.975 254.72
45.5 101.217 130.029 254.829
45.6 101.217 130.083 254.937
45.7 101.216 130.138 255.046
45.8 101.216 130.192 255.154
45.9 101.215 130.246 255.263
46 101.215 130.3 255.371
46.1 101.214 130.354 255.479
46.2 101.214 130.408 255.587
46.3 101.213 130.462 255.695
46.4 101.213 130.516 255.803
46.5 101.212 130.57 255.911
46.6 101.212 130.624 256.019
46.7 101.212 130.677 256.127
46.8 101.211 130.731 256.235
46.9 101.211 130.785 256.342
47 101.21 130.839 256.45
47.1 101.21 130.892 256.557
47.2 101.209 130.946 256.665
47.3 101.209 131 256.772
47.4 101.208 131.053 256.879
47.5 101.208 131.107 256.987
47.6 101.208 131.16 257.094
47.7 101.207 131.214 257.201
47.8 101.207 131.267 257.308
47.9 101.206 131.32 257.415
48 101.206 131.374 257.522
48.1 101.205 131.427 257.628
48.2 101.205 131.48 257.735
48.3 101.205 131.534 257.842
48.4 101.204 131.587 257.948
48.5 101.204 131.64 258.055
48.6 101.203 131.693 258.161
48.7 101.203 131.746 258.268
48.8 101.202 131.799 258.374
48.9 101.202 131.852 258.48
49 101.202 131.905 258.586
49.1 101.201 131.958 258.692
49.2 101.201 132.011 258.798
49.3 101.2 132.064 258.904
49.4 101.2 132.117 259.01
49.5 101.199 132.17 259.116
49.6 101.199 132.223 259.222
49.7 101.199 132.275 259.327
49.8 101.198 132.328 259.433
49.9 101.198 132.381 259.538
50 101.197 132.433 259.644
50.1 101.197 132.486 259.749
50.2 101.196 132.539 259.854
50.3 101.196 132.591 259.96
50.4 101.196 132.644 260.065
50.5 101.195 132.696 260.17
50.6 101.195 132.748 260.275
50.7 101.194 132.801 260.38
50.8 101.194 132.853 260.485
50.9 101.193 132.906 260.589
51 101.193 132.958 260.694
51.1 101.193 133.01 260.799
51.2 101.192 133.062 260.903
51.3 101.192 133.115 261.008
51.4 101.191 133.167 261.112
51.5 101.191 133.219 261.217
51.6 101.191 133.271 261.321
51.7 101.19 133.323 261.425
51.8 101.19 133.375 261.53
51.9 101.189 133.427 261.634
52 101.189 133.479 261.738
52.1 101.188 133.531 261.842
52.2 101.188 133.583 261.946
52.3 101.188 133.635 262.049
52.4 101.187 133.686 262.153
52.5 101.187 133.738 262.257
52.6 101.186 133.79 262.36
52.7 101.186 133.842 262.464
52.8 101.186 133.893 262.567
52.9 101.185 133.945 262.671
53 101.185 133.996 262.774
53.1 101.184 134.048 262.877
53.2 101.184 134.1 262.981
53.3 101.184 134.151 263.084
53.4 101.183 134.202 263.187
53.5 101.183 134.254 263.29
53.6 101.182 134.305 263.393
53.7 101.182 134.357 263.496
53.8 101.182 134.408 263.598
53.9 101.181 134.459 263.701
54 101.181 134.51 263.804
54.1 101.18 134.562 263.906
54.2 101.18 134.613 264.009
54.3 101.18 134.664 264.111
54.4 101.179 134.715 264.214
54.5 101.179 134.766 264.316
54.6 101.178 134.817 264.418
54.7 101.178 134.868 264.52
54.8 101.178 134.919 264.622
54.9 101.177 134.97 264.725
55 101.177 135.021 264.826
55.1 101.176 135.072 264.928
55.2 101.176 135.123 265.03
55.3 101.176 135.174 265.132
55.4 101.175 135.224 265.234
55.5 101.175 135.275 265.335
55.6 101.174 135.326 265.437
55.7 101.174 135.377 265.538
55.8 101.174 135.427 265.64
55.9 101.173 135.478 265.741
56 101.173 135.528 265.842
56.1 101.173 135.579 265.944
56.2 101.172 135.629 266.045
56.3 101.172 135.68 266.146
56.4 101.171 135.73 266.247
56.5 101.171 135.781 266.348
56.6 101.171 135.831 266.449
56.7 101.17 135.881 266.549
56.8 101.17 135.932 266.65
56.9 101.169 135.982 266.751
57 101.169 136.032 266.852
57.1 101.169 136.082 266.952
57.2 101.168 136.133 267.053
57.3 101.168 136.183 267.153
57.4 101.168 136.233 267.253
57.5 101.167 136.283 267.354
57.6 101.167 136.333 267.454
57.7 101.166 136.383 267.554
57.8 101.166 136.433 267.654
57.9 101.166 136.483 267.754
58 101.165 136.533 267.854
58.1 101.165 136.583 267.954
58.2 101.164 136.633 268.054
58.3 101.164 136.682 268.153
58.4 101.164 136.732 268.253
58.5 101.163 136.782 268.353
58.6 101.163 136.832 268.452
58.7 101.163 136.881 268.552
58.8 101.162 136.931 268.651
58.9 101.162 136.98 268.75
59 101.161 137.03 268.85
59.1 101.161 137.08 268.949
59.2 101.161 137.129 269.048
59.3 101.16 137.178 269.147
59.4 101.16 137.228 269.246
59.5 101.16 137.277 269.345
59.6 101.159 137.327 269.444
59.7 101.159 137.376 269.543
59.8 101.159 137.425 269.641
59.9 101.158 137.475 269.74
60 101.158 137.524 269.839
60.1 101.157 137.573 269.937
60.2 101.157 137.622 270.036
60.3 101.157 137.671 270.134
60.4 101.156 137.72 270.233
60.5 101.156 137.77 270.331
60.6 101.156 137.819 270.429
60.7 101.155 137.868 270.527
60.8 101.155 137.917 270.625
60.9 101.155 137.966 270.723
61 101.154 138.014 270.821
61.1 101.154 138.063 270.919
61.2 101.153 138.112 271.017
61.3 101.153 138.161 271.115
61.4 101.153 138.21 271.212
61.5 101.152 138.258 271.31
61.6 101.152 138.307 271.408
61.7 101.152 138.356 271.505
61.8 101.151 138.405 271.602
61.9 101.151 138.453 271.7
62 101.151 138.502 271.797
